day,box,mouse,ama_density,rbc_density,ter119_density,cd71_density
13,4,3,1799.535,4510000000,2430812.757,1067812.251
13,5,1,,6920000000,5962519.42,395770.19
13,5,2,,7010000000,5798165.04,421820.315
13,5,3,573.288,8020000000,6155991.565,582975.175
14,1,2,34383.3,6140000000,1935539.733,1338908.055
14,1,3,43318.35,5650000000,2380454.82,1118522.889
14,2,1,22534.8,7810000000,3743706.724,2173058.924
14,2,2,56018.7,8270000000,4355423.075,1648685.545
14,2,3,27482.1,6940000000,2090334.777,1047304.305
14,3,1,8997.885,7690000000,4584468.144,1381169.264
14,3,2,31029,7130000000,3694557.276,1225172.888
14,3,3,6114.615,5450000000,1727103.054,774769.323
14,4,1,1051.836,5480000000,2468705.655,795295.227
14,4,2,3453.15,6750000000,3251730.609,1168783.611
14,4,3,1142.8845,7140000000,3010558.6,1097291.348
14,5,1,,8730000000,5593868.315,253746.985
14,5,2,,9560000000,5896304.095,284465.075
14,5,3,,9010000000,5848172.64,341581.625
15,1,2,9490.41,5360000000,2018356.128,1194299.058
15,1,3,32858.1,6130000000,2467465.356,983866.473
15,2,1,36766.95,5900000000,3300171.891,1515330.189
15,2,2,48568.5,7190000000,4923650.344,1582334.992
15,2,3,26026.2,5610000000,1910929.371,1139730.78
15,3,1,9883.635,7270000000,3935888.696,927206.188
15,3,2,8762.535,5120000000,2275671.622,805936.822
15,3,3,3851.55,4340000000,1161704.554,598308.06
15,4,1,147.1881,6120000000,2435808.786,944447.541
15,4,2,4046.13,7130000000,3010937.116,1069077.152
15,4,3,533.2185,6670000000,2982787.269,936419.493
15,5,1,,8160000000,4253180.32,246671.475
15,5,2,,8960000000,4449527.67,257072.875
15,5,3,,8060000000,4165726.18,290736.105
16,1,2,1182.912,6370000000,2964476.286,1485930.009
16,1,3,9601.92,7070000000,3136801.672,1538402.4
16,2,1,56390.4,6020000000,3140439.984,1203544.113
16,2,2,9576.96,7700000000,4185685.892,928500.208
16,2,3,13165.92,4090000000,1309631.832,709060.522
16,3,1,6733.845,7470000000,3983016.88,717824.3
16,3,2,1651.35,5210000000,2492621.278,603398.162
16,3,3,2685.975,5080000000,1992390.64,1018899.802
16,4,1,98.56935,5630000000,2944764.585,1207837.704
16,4,2,6716.67,6970000000,3556198.164,1034499.908
16,4,3,542.148,7420000000,4143502.976,1190244.312
16,5,1,,8520000000,5493937.54,276036.26
16,5,2,,8790000000,5204815.82,279999.505
16,5,3,,7140000000,4819141.488,292471.144
17,1,2,144.46485,5440000000,2648787.306,1339298.714
17,1,3,1218.6345,5370000000,3135835.05,1465392.52
17,2,1,59486.55,6630000000,4168739.922,1443174.036
17,2,2,1054.713,6870000000,4617419.796,974803.095
17,2,3,8326.17,5380000000,2547828.246,1260480.354
17,3,1,9415.32,7530000000,5862433.1,965728.288
17,3,2,191.7195,5660000000,3637788.483,1170168.411
17,3,3,2797.11,5930000000,3409158.99,1503787.668
17,4,1,,6020000000,4570962.462,1378688.169
17,4,2,8844.045,6900000000,4622739.942,1223337.525
17,4,3,579.69,7600000000,5619189.368,1404852.944
17,5,1,,8690000000,5829347.44,565951.73
17,5,2,,8250000000,5960439.26,570766.88
17,5,3,,7060000000,5015850.896,571336.828
18,1,2,,6340000000,3283650.495,960087.477
18,1,3,302.0325,5260000000,2619549.298,679837.404
18,2,1,3361.455,4530000000,2458671.486,651554.818
18,2,2,102.76665,6990000000,4096177.791,563928.432
18,2,3,4552.41,6450000000,2874867.183,1354682.913
18,3,1,6315.435,7410000000,4115786.24,371366.12
18,3,2,27.9741,6870000000,3872970.39,1093702.443
18,3,3,1445.97,6800000000,3359823.621,1078812.375
18,4,1,,6310000000,3537594.012,652664.562
18,4,2,5028.06,7450000000,3535437.296,590610.192
18,4,3,477.531,6510000000,4058116.557,560989.509
18,5,1,,8450000000,5142363.085,193448.635
18,5,2,,8690000000,4960835.005,217252.885
18,5,3,,7260000000,4213316.94,294502.244
19,1,2,,6430000000,3671845.617,1120600.818
19,1,3,112.87965,6100000000,3343671.246,1077242.781
19,2,1,64.059,4890000000,2498624.914,718556.966
19,2,2,26.56125,7350000000,4574090.728,757554.38
19,2,3,2156.91,7100000000,4209728.896,1906908.4
19,3,1,1177.53,7800000000,4515123.624,454867.168
19,3,2,,6780000000,4395487.671,957183.102
19,3,3,162.537,7100000000,4581995.236,1165618.432
19,4,1,,6200000000,3718536.996,886976.172
19,4,2,811.635,6150000000,3401658.747,664320.381
19,4,3,,6120000000,4569478.821,696307.812
19,5,1,,8570000000,4838859.6,230665.665
19,5,2,,8320000000,4691733.615,264245.555
19,5,3,,6090000000,3382406.175,402798.054
20,1,2,86.616,7410000000,4692557.676,1075195.284
20,1,3,125.8284,6060000000,3326635.92,1334272.152
20,2,1,,5920000000,3191922.936,1058765.604
20,2,2,,5080000000,3248929.686,534138.554
20,2,3,1393.953,7480000000,4340633.88,1134312.344
20,3,1,366.1695,6380000000,3607257.447,299619.027
20,3,2,,6980000000,3891557.22,475754.961
20,3,3,39.1224,5080000000,2797656.104,499065.052
20,4,1,,5070000000,2879915.692,537763.092
20,4,2,190.0245,5950000000,3254421.651,408621.66
20,4,3,49.0764,6730000000,3887650.803,535990.302
20,5,1,,8870000000,0,0
20,5,2,,9060000000,5169803.44,249441.205
20,5,3,,5410000000,3076167.66,364805.332
21,1,2,,7490000000,4078968.24,519332.48
21,1,3,,5330000000,2781132.51,816227.674
21,2,1,,5890000000,3287711.718,1148994.195
21,2,2,,5790000000,3472158.711,462011.982
21,2,3,830.91,6980000000,4083045.069,846831.462
21,3,1,167.223,6740000000,3657756.975,240346.344
21,3,2,,6770000000,4031249.007,465358.914
21,3,3,,5530000000,3127809.765,385775.193
21,4,1,,6050000000,3667170.048,478683.861
21,4,2,58.011,6460000000,3736976.058,523466.454
21,4,3,322.3305,7620000000,4969006.264,983184.308
21,5,1,,8540000000,5711623.145,254686.16
21,5,2,,9060000000,6263207.23,323107.01
21,5,3,,6240000000,4128798,647384.043
23,1,2,,6690000000,4069035.861,617264.175
23,1,3,44.0373,7600000000,4720731.34,1505860.608
23,2,1,,7180000000,4486040.972,858764.616
23,2,2,,7560000000,4394891.156,1151963.1
23,2,3,597.5145,7870000000,4864415.676,946285.396
