"day","Retic","RBC","Pd","M","E","R","W","N","K","mouse","box","paba","sigmaRBCinit","sigmaReticinit","sigmaPdinit","lambdaM","lambdaE","sigmaR","sigmaW","sigmaN","fit","con","ID"
8,531411.550702955,3340000,1132041,13.0884403473069,14.8517641803247,13.1833051556512,16.4601812435603,12.7278264739094,13.0171709299315,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
9,1017729.12874658,3690000,34074,10.4648894251453,14.7923020554402,13.8340819157677,16.1100188866472,14.3366086621563,10.4601223674003,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
10,2257001.81378758,4550000,7055.1,9.05349291661785,14.6472469295541,14.6290902835906,15.4476597120116,14.9023328655524,9.05255436032428,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
11,3392468.91617599,5760000,6766.425,9.02960182098768,14.6777299228687,15.036839624294,15.2826863389292,15.3309059435725,9.02887739587448,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
12,3564177.30922816,6170000,16977.6,9.23787149345805,14.7733340374304,15.0859284804871,15.9137581384512,15.2046311366215,9.23703839440118,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
13,2241306.99831514,5390000,7130.61,9.01592349211874,14.9804802104426,14.6223164925715,15.9840985702869,12.9687046512026,9.0151677764637,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
14,2316777.28071045,7690000,8997.885,9.08183360499209,15.4744092017406,14.6595420420016,16.1722876635294,14.6349014887538,9.0812535191926,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
15,1712647.25895592,7270000,9883.635,9.14011647938657,15.5338183818064,14.3531612235702,16.3529841415433,14.0696822135783,9.13947693142519,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
16,1346252.77335003,7470000,6733.845,8.97785318346237,15.6262480076245,14.1129902187642,16.2273735643031,14.0319453248867,8.97732212493194,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
17,1240429.33788703,7530000,9415.32,9.06731807476433,15.6554210031412,14.0307755557327,16.5490878093092,13.6050740615667,9.06674307960116,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
18,668602.009126693,7410000,6315.435,8.66857178741197,15.7275959095991,13.4131037034689,16.9831875614225,13.305109472428,8.6681806572085,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
19,785795.518762965,7800000,1177.53,7.14415763058687,15.7578970501453,13.5747506010198,16.8683884882333,14.5825557442481,7.1440760302756,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
20,529923.195210192,6380000,366.1695,5.88938246575264,15.5829460349746,13.1804823199726,16.8688705175561,14.5825195809735,5.88935418550418,"01","03","0.0005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-77.3497473966716,0,4
0,215598.798344163,8340000,NA,1.60781816132042,15.9055982607905,12.2813983605123,14.7296914724028,13.065141445001,1.60781786065283,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
1,758600.654448694,8510000,NA,3.05714083870899,15.8731943262535,13.5388859744528,14.7293304335454,12.9475139314876,3.0571396002769,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
2,469603.729136953,8630000,NA,4.52452787909652,15.9184032515882,13.059786064061,14.7281035205144,12.9198129561179,4.5245225524397,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
3,579743.714559641,8740000,498.372,5.99646083755663,15.9300235230426,13.270413924287,14.7258561760066,13.0529593528941,5.99643816486666,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
4,848198.200425367,9740000,1133.637,7.46963372270833,15.9539219030718,13.6509185463639,14.5384333275939,13.6810876959494,7.4695397703928,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
5,598368.328226144,8880000,6234.6,8.96246988417526,15.94785051998,13.3018402435054,14.5016467296766,13.5798530991182,8.9620379039146,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
6,387847.576889833,8500000,36874.95,10.4626499863653,15.9269055718081,12.868466290738,14.7658861886302,13.4856185530118,10.4606279123715,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
7,464895.192324927,8540000,327040.5,11.8861802556277,15.8907582545645,13.0495968653644,15.3969720358015,13.9781704261127,11.8775792854639,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
8,469038.674014442,7750000,144508.95,12.9669639256448,15.7914697917949,13.0584467212826,15.2957034359921,14.4166518178236,12.9392356478929,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
9,463198.352668219,6190000,1923105,13.9381533220937,15.5581667583958,13.0459059192979,16.1912392393807,14.4363692644634,13.848022508088,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
10,593520.117500216,4300000,898834.5,13.6108921378709,15.1494511529917,13.2937241433477,16.1674448710711,13.4964317860297,13.5194961583302,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
11,649167.379620668,3840000,257566.5,12.7670889256068,14.9480024824465,13.3835943890975,15.8572352525498,13.3801127494071,12.7207532255599,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
12,560164.224446227,3140000,468849,12.3023816325166,14.868470371956,13.2361064963059,16.1025484887007,12.5947241451472,12.2704175694598,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
13,2135188.68331665,5830000,70682.25,11.1174639154777,14.924653342809,14.5778790342455,16.2040470072245,14.5155043673397,11.1109651195713,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
14,3477094.65329342,6940000,27482.1,10.4226012161699,15.056106017642,15.0613874237233,15.8120309043504,15.84583945415,10.420178454953,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
15,3345958.13578083,5610000,26026.2,10.0667585348437,14.6469609576912,15.0227339661617,15.8085207014718,15.6086432024851,10.0646720593504,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
16,2214406.72417926,4090000,13165.92,9.50551337496693,14.4754073405204,14.610412458506,15.8683437505107,14.4372431107934,9.50389484556627,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
17,2661633.22239893,5380000,8326.17,8.98425197285048,14.7889880929844,14.7949922974686,16.1454312649666,14.6887299514965,8.98350101593152,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
18,3039342.07483351,6450000,4552.41,8.40391506271525,15.0327324933958,14.9271454182208,16.3870074519838,14.943700951909,8.40356722313622,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
19,3216133.38399642,7100000,2156.91,7.68955375576122,15.1909780265979,14.9833824929265,16.4655893018192,14.4732646888353,7.6894014047781,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
20,1954704.4435639,7480000,1393.953,7.2532954029045,15.5178263581847,14.485951186314,16.4656781896891,14.4746049486703,7.25320048350749,"03","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-54.1224343870655,0,3
0,202530.451696895,8880000,NA,5.98506791454359,15.9766740929461,12.2188521518607,13.3141877661122,13.6028236545323,5.98504554529892,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
1,649254.229308111,8800000,1587.99,7.63260150833532,15.9106579759875,13.3832829974045,13.3132627554549,13.8041090918607,7.63248388962519,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
2,331078.597246607,8030000,9107.775,9.25996234375464,15.8637553186649,12.7102202785844,13.4914317231397,12.9275649559694,9.25931255474424,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
3,521046.478193259,8430000,86298,10.9293730788481,15.8746844119089,13.1638378600876,14.0340346494851,13.4817788664837,10.9260383994453,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
4,654180.973861263,8070000,258915,12.4979071151111,15.8298528963908,13.3908013080617,14.5117790747841,12.3731312304587,12.4815236129779,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
5,640478.66427278,8580000,1084242,14.0138161292731,15.8804239597843,13.3703959704339,15.1910021986525,12.2277571276443,13.9431561402702,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
6,499115.993064387,7710000,3403470,15.262810082502,15.7904431828079,13.1205700241322,16.4065644130765,12.0799550313924,14.9995726802212,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
7,373614.953387896,4690000,4413465,15.0511395319916,15.2806782878235,12.8310440149216,16.5940175551854,11.8638686090689,14.7074839606002,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
8,489451.227523396,2680000,760525.5,13.060707581489,14.6069710879503,13.1013280130953,15.9027469112695,11.8200683297168,12.9747953882071,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
9,835785.831947366,3080000,128470.8,11.7409585230859,14.6117047552389,13.6383864368322,15.9143831456191,13.4364790356358,11.7204688384356,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
10,1997178.98680081,4340000,40803.6,10.6326932169004,14.6666686370005,14.5071483424332,15.362945534192,14.9223625928603,10.627918801751,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
11,3760894.67087555,5900000,32804.25,10.6545053669741,14.5758816924355,15.1398198935552,14.6973567646087,15.7693010174047,10.6509149112863,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
12,4107093.08625143,5860000,56888.4,10.8542158644752,14.3839410851573,15.2267658872287,15.0169829207455,15.4906761225713,10.8498083817256,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
13,3044138.28735022,5320000,91032,11.1808279817288,14.6625555637251,14.9279466718103,16.1242289233118,13.1745655090427,11.17416113864,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
14,3130494.83881655,8270000,56018.7,11.0103682974181,15.4256793741568,14.9616489413895,16.3616958673939,15.2088873914594,11.0066589024126,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
15,2310681.66860063,7190000,48568.5,10.7538065116878,15.4059935009322,14.6525106722174,16.952250063899,14.1396146046944,10.7505647224499,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
16,1708071.69626956,7700000,9576.96,9.1740059594682,15.6016245619774,14.3513582596401,17.15619848787,14.7722953175019,9.17337781493665,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
17,1450354.86451793,6870000,1054.713,6.96163190417238,15.5088373809006,14.1870504026716,17.1271349834128,13.7750959812085,6.96155529146892,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
18,962326.329765504,6990000,102.76665,4.64626261431268,15.6122824762841,13.7774360971901,16.8718493895285,13.8140508248074,4.6462551641601,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
19,1217296.51292566,7350000,26.56125,3.27147458852181,15.6258800447974,14.0123648502363,16.8676416066047,15.197591018079,3.2714727911712,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
20,835174.693380545,5080000,NA,1.64808237123113,15.2618676429761,13.6353790920066,16.867611583151,15.1975817999722,1.64808185995592,"02","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-80.3211900560015,0,2
0,444092.133606705,8220000,NA,6.96139081320334,15.8686278782502,13.003951084734,13.789022796041,13.3467221603089,6.96132676221452,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
1,1084672.59088293,8820000,2821.395,8.57387933799387,15.8571246214068,13.8967884321624,13.7861504671521,14.1293075303248,8.57357827231743,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
2,596225.759701188,8050000,18133.8,10.1150765634048,15.8254343824179,13.2984173454064,13.907148276973,13.8555073664727,10.1135437129494,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
3,763338.336103522,7810000,223690.5,11.6566610853933,15.7678743067183,13.5453628449219,14.2537944886721,13.4935574635752,11.6492771884245,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
4,722351.714077712,7650000,836572.5,13.1651148657216,15.7599874019472,13.4902397729502,14.6874433744126,12.8477494879981,13.1314740238948,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
5,783752.471942906,7950000,2202615,14.5806744209648,15.7739652583137,13.5725022669214,15.7653273128712,14.1057812703447,14.4472706815885,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
6,567732.173006405,5570000,3803790,15.1908508340052,15.4278496499831,13.2492696520323,16.1427228772801,13.6499054684747,14.8573151441145,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
7,518188.256261364,2880000,5431800,14.675897929136,14.6756813482031,13.1581667149494,15.8907323312306,13.3320266911816,14.2936079825258,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
8,593064.618878508,1620000,491955,13.1220038822768,13.8414710072126,13.2933133461549,15.5673090098451,13.4654154343954,12.9716577981085,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
9,879065.890650618,1650000,53408.55,10.7837207351533,13.5546809392324,13.6869047291916,15.3928598406402,13.9923349277577,10.7691390565903,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
10,2219543.46979657,3e+06,7884.825,8.91725028311581,13.5642946335608,14.6131256756574,14.7924206513298,15.0107944340784,8.91600649244527,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
11,3464220.29493112,4460000,1291.7445,8.73431840388385,13.8088456496737,15.0579985836115,13.9616385021589,15.824882878447,8.73362163813832,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
12,4260462.5727425,5070000,8670.36,8.60973181854719,13.6328903426503,15.2621569177284,13.8127576515938,16.040407352812,8.60919223136409,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
13,3670669.08707338,4460000,5570.34,8.40062244259356,13.6169003826282,15.1136543607812,13.9983300178241,14.2195715586091,8.40012611186019,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
14,4533365.31081327,7810000,22534.8,9.60604572647424,14.9881874072027,15.3290123568762,14.5453581148105,15.7410654554624,9.6050904007873,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
15,2709085.59020267,5900000,36766.95,10.2630522508893,14.97890882811,14.811667354044,15.2481701755554,14.8154339178733,10.2606284698778,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
16,2307108.42976581,6020000,56390.4,10.8983833836466,15.1280794189286,14.6516585815258,16.053332798548,14.4906463631738,10.8938966771664,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
17,2295236.45938784,6630000,59486.55,10.818510106893,15.279049982734,14.6465527157474,17.0130016303198,15.3112181783312,10.8147390852566,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
18,1200462.66544615,4530000,3361.455,8.24859859887235,15.0205854325972,13.9981590415057,17.0540396558206,14.0132123711671,8.24817743299297,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
19,1406270.9228793,4890000,64.059,4.16733876199842,15.062217700734,14.1567892560466,17.0389139410551,13.8504538964609,4.16733215654182,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
20,1963672.83965029,5920000,NA,0.621915909995244,15.1905213511009,14.4903353716419,17.0389355607243,13.850465480253,0.6219157527867,"01","02","0.005",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-78.0486589416382,0,1
