"day","Retic","RBC","Pd","M","E","R","W","N","K","mouse","box","paba","sigmaRBCinit","sigmaReticinit","sigmaPdinit","lambdaM","lambdaE","sigmaR","sigmaW","sigmaN","fit","con","ID"
7,251456.178419199,3870000,1951995,14.290915931915,15.3643052749361,12.4350675280583,16.6922358719992,12.6575367775986,14.1330462939285,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
8,424646.230884294,4230000,139490.7,11.8945587237697,15.0395614086714,12.9592409146058,16.0852297467706,12.9366595129297,11.8754771242558,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
9,550342.850971303,4190000,42869.7,10.6447787443148,15.015146303855,13.2186095968546,16.0579217302001,13.8190819452749,10.6393599866578,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
10,1712717.25748548,4830000,11736.15,9.35347835036005,14.8989700776797,14.353535430915,15.6873964300431,14.8306419235756,9.35224251748595,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
11,2684884.95530931,5550000,4876.515,8.77494099501608,14.7620211913575,14.8029403319197,14.7519525959371,15.3531852553966,8.77432615342542,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
12,2027437.33180498,3640000,9017.325,8.81514500412114,14.58546800387,14.521456447669,15.5688318952484,14.5266743536715,8.81434047854027,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
13,1809446.11413626,4100000,4118.94,8.35487110214141,14.7597083156304,14.4087058847956,15.615347563911,13.8255007165752,8.3543859427863,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
14,2426181.72379175,6750000,3453.15,8.1499500262566,15.0657302782935,14.7024250165303,15.5149542240039,14.2947523031816,8.14965747762305,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
15,2531610.52525947,7130000,4046.13,8.35946524677165,15.3197415790373,14.744266440218,15.3507235881534,14.5990993728576,8.35916162301532,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
16,2027576.6496234,6970000,6716.67,8.79532526844637,15.452350026702,14.5222393218579,15.6451023782712,14.5248475689879,8.79486458151442,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
17,1825979.61996712,6900000,8844.045,9.04912380969127,15.4995261694128,14.4175235189809,16.3285862692993,14.3205431999026,9.04853388064782,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
18,1244554.93394784,7450000,5028.06,8.51454238911633,15.562080257252,14.0344199528169,16.8284769985355,14.505561857119,8.51418517266157,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
19,1201052.38268041,6150000,811.635,6.72006018341067,15.4708860265919,13.998573612455,16.6521403926421,14.2252022896447,6.71999579040001,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
20,747075.559878028,5950000,190.0245,5.2425885124092,15.4442343231301,13.5240360224993,16.6521616895918,14.225447252531,5.24257232986625,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
0,194236.115218194,8080000,NA,7.72604735523492,15.9199788264621,12.1770739053689,12.9337636269736,12.492659595768,7.72591239227722,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
1,766534.015144929,9740000,8439.57,9.05193422161492,15.943679419998,13.549830098901,12.9346493686798,13.6449371261505,9.05146868469078,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
2,330463.625451507,8450000,23500.65,10.3214305850348,15.92223052183,12.7082856901835,12.9413712985007,13.1660212248203,10.319655050914,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
3,353220.652982158,8110000,76861.2,11.6198364631648,15.890917222387,12.7747994518447,13.1123676314031,12.4743667928442,11.6131569992868,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
4,388792.994686221,8630000,401962.5,12.9366370061963,15.904013391206,12.8709494283473,13.7758207992011,12.5565285527892,12.9122002066721,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
5,445745.162283662,8300000,2411190,14.1795970925149,15.865556269235,13.0073790469123,15.39614656302,12.8131130338535,14.0932689079166,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
6,306732.678154717,6740000,2553135,14.8635990778534,15.6914401839509,12.6337095735338,16.619396965238,12.5367937377172,14.6621583826736,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
7,316327.547735982,4520000,968631,13.6119745176637,15.281352653319,12.6646638216038,15.9870174497242,12.3256677801877,13.5254872279253,"01","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-64.6024236650682,0,7
