"name","mouse","value","time"
"logR","C",272994.427446628,6
"logW","C",10702515.6847564,6
"logN","C",701528.318240253,6
"logM","B",649232.747162147,6
"logE","B",6175649.22665768,6
"logR","B",205493.695384435,6
"logW","B",9571258.29550609,6
"logN","B",701528.318262873,6
"logM","A",2265822.95197631,6
"logE","A",7442239.60541205,6
"logR","A",302221.573042217,6
"logW","A",9833811.66120436,6
"logN","A",701528.31821811,6
"logE","GROUP",4516533.83107788,7
"logM","GROUP",1135384.44138863,7
"logN","GROUP",713715.412368583,7
"logR","GROUP",309306.289120524,7
"logW","GROUP",13265855.9014641,7
"logM","C",1034698.56285287,7
"logE","C",4557857.80996772,7
"logR","C",361087.679561225,7
"logW","C",14198809.5813222,7
"logN","C",713715.412364401,7
"logM","B",503219.616976104,7
"logE","B",5164848.22121696,7
"logR","B",249885.264468309,7
"logW","B",12573189.2022153,7
"logN","B",713715.412387422,7
"logM","A",2057353.49454218,7
"logE","A",5282824.3626051,7
"logR","A",323811.321748473,7
"logW","A",13094734.9505696,7
"logN","A",713715.412341879,7
"logE","GROUP",3592371.52655032,8
"logM","GROUP",235506.010447676,8
"logN","GROUP",913951.370317704,8
"logR","GROUP",531642.083464846,8
"logW","GROUP",9600323.29517253,8
"logM","C",183617.576300819,8
"logE","C",3446744.59289118,8
"logR","C",625936.85647098,8
"logW","C",10275999.3570711,8
"logN","C",913951.370312343,8
"logM","B",168422.457673083,8
"logE","B",4334696.11311869,8
"logR","B",420322.188327934,8
"logW","B",8933226.15142458,8
"logN","B",913951.370341837,8
"logM","A",598925.96936613,8
"logE","A",3419388.60241162,8
"logR","A",567894.337863224,8
"logW","A",9632194.81559934,8
"logN","A",913951.370283506,8
"logE","GROUP",3518785.96813223,9
"logM","GROUP",94485.0023019212,9
"logN","GROUP",1566320.55193727,9
"logR","GROUP",778314.467766604,9
"logW","GROUP",7410698.88422732,9
"logM","C",46940.8211835876,9
"logE","C",3110061.08672593,9
"logR","C",1009655.10180374,9
"logW","C",7927192.00423165,9
"logN","C",1566320.55192807,9
"logM","B",85069.6503123758,9
"logE","B",3799132.40952319,9
"logR","B",565838.220024392,9
"logW","B",6721768.36233497,9
"logN","B",1566320.55197865,9
"logM","A",161193.724396708,9
"logE","A",2724532.63303478,9
"logR","A",824536.149251565,9
"logW","A",7620106.65340648,9
"logN","A",1566320.55187866,9
"logE","GROUP",2891107.72072361,10
"logM","GROUP",60751.0430518156,10
"logN","GROUP",2885465.33688483,10
"logR","GROUP",2258341.65947707,10
"logW","GROUP",7186645.3394317,10
"logM","C",19007.4962233987,10
"logE","C",2783792.27780897,10
"logR","C",2625796.1588144,10
"logW","C",7677864.35047286,10
"logN","C",2885465.33686787,10
"logM","B",51456.7933353564,10
"logE","B",2999583.88611029,10
"logR","B",1751191.48676381,10
"logW","B",6331754.7408882,10
"logN","B",2885465.33696109,10
"logM","A",48329.6642038155,10
"logE","A",2176546.59104321,10
"logR","A",2538115.75698175,10
"logW","A",7615495.9123557,10
"logN","A",2885465.33677686,10
"logE","GROUP",2359638.08582643,11
"logM","GROUP",38189.4094796115,11
"logN","GROUP",3740290.09666555,11
"logR","GROUP",2879532.83583173,11
"logW","GROUP",7042336.65051682,11
"logM","C",10982.9481912723,11
"logE","C",3160931.67394982,11
"logR","C",2723150.19726745,11
"logW","C",7505308.30653338,11
"logN","C",3740290.09664355,11
"logM","B",30004.4091133868,11
"logE","B",2568015.00430166,11
"logR","B",2621655.67517369,11
"logW","B",6029986.00871396,11
"logN","B",3740290.09676447,11
"logM","A",21153.0961665487,11
"logE","A",2522448.13399383,11
"logR","A",3398993.81836115,11
"logW","A",7696178.4478905,11
"logN","A",3740290.09652559,11
"logE","GROUP",2288063.50902244,12
"logM","GROUP",23022.3908807885,12
"logN","GROUP",2867642.86305666,12
"logR","GROUP",2350365.79344188,12
"logW","GROUP",9665256.54875906,12
"logM","C",6621.98612816946,12
"logE","C",3109858.49805345,12
"logR","C",2442928.66967784,12
"logW","C",10282523.4429291,12
"logN","C",2867642.86303976,12
"logM","B",18586.6841466406,12
"logE","B",2516906.3542809,12
"logR","B",2093635.93433854,12
"logW","B",8076190.96419129,12
"logN","B",2867642.86313254,12
"logM","A",12483.6336770004,12
"logE","A",3124017.74645291,12
"logR","A",2572257.13451648,12
"logW","A",10863537.9488405,12
"logN","A",2867642.86294934,12
"logE","GROUP",2437041.58313205,13
"logM","GROUP",3704.770939908,13
"logN","GROUP",1871724.00846491,13
"logR","GROUP",1788686.04319751,13
"logW","GROUP",9693617.73343733,13
"logM","C",2528.38302074441,13
"logE","C",3309407.46158554,13
"logR","C",1969634.66998803,13
"logW","C",10280850.6464805,13
"logN","C",1871724.00845387,13
"logM","B",7053.920313045,13
"logE","B",2471696.0586412,13
"logR","B",1801647.2219955,13
"logW","B",7972241.9435332,13
"logN","B",1871724.00851446,13
"logM","A",4563.85231333532,13
"logE","A",3423204.77893301,13
"logR","A",1627661.13431113,13
"logW","A",11103784.3912384,13
"logN","A",1871724.00839486,13
"logE","GROUP",3780328.87453307,14
"logM","GROUP",1847.51533607267,14
"logN","GROUP",1758547.64804679,14
"logR","GROUP",2226196.23464422,14
"logW","GROUP",9555862.00789761,14
"logM","C",1031.86862235813,14
"logE","C",3703061.24104928,14
"logR","C",2511692.74772054,14
"logW","C",10100640.0980239,14
"logN","C",1758547.64803641,14
"logM","B",2875.20272733872,14
"logE","B",2758111.55672847,14
"logR","B",2404663.59697319,14
"logW","B",7819313.36060611,14
"logN","B",1758547.64809337,14
"logM","A",1424.95454770423,14
"logE","A",3476839.90166054,14
"logR","A",1848880.13406809,14
"logW","A",11037098.426958,14
"logN","A",1758547.64798097,14
"logE","GROUP",4277466.11933822,15
"logM","GROUP",1665.19176605271,15
"logN","GROUP",1804174.1166663,15
"logR","GROUP",2315976.25797383,15
