"name","mouse","value","time"
"logE","C",5185955.45512802,17
"logR","C",2612421.35120955,17
"logW","C",15834296.2753193,17
"logN","C",1315753.9243375,17
"logM","B",234.824927271711,17
"logE","B",4914223.89373149,17
"logR","B",1820562.5922911,17
"logW","B",25625392.772234,17
"logN","B",1315753.92428872,17
"logM","A",8290.62979576278,17
"logE","A",5436477.94769013,17
"logR","A",1241150.97065334,17
"logW","A",11909578.3572035,17
"logN","A",1315753.92423844,17
"logE","GROUP",5388164.46958321,18
"logM","GROUP",2408.37555040849,18
"logN","GROUP",1346890.76655635,18
"logR","GROUP",942481.715470096,18
"logW","GROUP",32176566.673821,18
"logM","C",1435.22532511803,18
"logE","C",6516453.31492745,18
"logR","C",2181659.31228458,18
"logW","C",33078712.0908509,18
"logN","C",1346890.76660207,18
"logM","B",26.1999371110177,18
"logE","B",5531676.29052852,18
"logR","B",1939815.50996762,18
"logW","B",48622389.6625532,18
"logN","B",1346890.76655215,18
"logM","A",6962.85411149296,18
"logE","A",5536176.25426812,18
"logR","A",668809.294584522,18
"logW","A",20894563.6007745,18
"logN","A",1346890.76650069,18
"logE","GROUP",5856965.04096963,19
"logM","GROUP",481.838887846569,19
"logN","GROUP",1533951.9965962,19
"logR","GROUP",923248.147689652,19
"logW","GROUP",25990366.4806079,19
"logM","C",166.809260672533,19
"logE","C",7395541.09920486,19
"logR","C",1805439.72199131,19
"logW","C",27666553.3684647,19
"logN","C",1533951.99664827,19
"logM","B",0.19877431819769,19
"logE","B",6232600.04664993,19
"logR","B",1476359.81645279,19
"logW","B",39176308.282583,19
"logN","B",1533951.99659142,19
"logM","A",1177.13094645655,19
"logE","A",5020031.81683511,19
"logR","A",785965.320036912,19
"logW","A",16290077.2599767,19
"logN","A",1533951.99653282,19
"logE","GROUP",5377342.02027724,20
"logM","GROUP",133.907799745927,20
"logN","GROUP",1534101.78395999,20
"logR","GROUP",829997.533261681,20
"logW","GROUP",25984967.0862438,20
"logM","C",42.4838669128727,20
"logE","C",7757666.63195168,20
"logR","C",906119.917242049,20
"logW","C",27651324.2950357,20
"logN","C",1534101.78401206,20
"logM","B",0.00615903058995278,20
"logE","B",6316767.84953671,20
"logR","B",853327.738506955,20
"logW","B",39079986.0039274,20
"logN","B",1534101.7839552,20
"logM","A",333.051107536002,20
"logE","A",4465007.09878857,20
"logR","A",529951.361430141,20
"logW","A",16328617.4909871,20
"logN","A",1534101.78389661,20
