"name","mouse","value","time"
"logE","GROUP",2543697.22634992,11
"logM","GROUP",53613.2962965031,11
"logN","GROUP",1879896.11660163,11
"logR","GROUP",3054004.15898269,11
"logW","GROUP",8288969.14520519,11
"logM","B",7861.21170703593,11
"logE","B",1551025.88092285,11
"logR","B",2761995.51232244,11
"logW","B",5580701.01214772,11
"logN","B",1879896.11668687,11
"logM","A",74276.3329630404,11
"logE","A",3067931.07686882,11
"logR","A",3391618.68342793,11
"logW","A",12192127.8837849,11
"logN","A",1879896.11669931,11
"logE","GROUP",2030203.19259227,12
"logM","GROUP",29939.2258146939,12
"logN","GROUP",1808088.63061956,12
"logR","GROUP",2307652.4667812,12
"logW","GROUP",16866905.3974298,12
"logM","B",8487.41529132597,12
"logE","B",2790283.96778371,12
"logR","B",2172817.70873888,12
"logW","B",10509992.7680983,12
"logN","B",1808088.63070156,12
"logM","A",50907.9622748961,12
"logE","A",4752678.77246421,12
"logR","A",2459276.42446859,12
"logW","A",27385180.776242,12
"logN","A",1808088.63071352,12
"logE","GROUP",2365033.55053841,13
"logM","GROUP",4564.0241403944,13
"logN","GROUP",1713837.22106623,13
"logR","GROUP",1706871.32099758,13
"logW","GROUP",14267619.2458817,13
"logM","B",4318.2621493839,13
"logE","B",3448315.18365286,13
"logR","B",1717081.00635005,13
"logW","B",8564879.64784376,13
"logN","B",1713837.22114395,13
"logM","A",5390.99550094181,13
"logE","A",5555528.72736918,13
"logR","A",1700845.7015224,13
"logW","A",23880379.4260013,13
"logN","A",1713837.22115529,13
"logE","GROUP",3468114.8656995,14
"logM","GROUP",2235.61358667736,14
"logN","GROUP",1801358.89837835,14
"logR","GROUP",2066654.67247033,14
"logW","GROUP",14876012.4236415,14
"logM","B",3596.87766066802,14
"logE","B",3709492.67450116,14
"logR","B",2158135.24636094,14
"logW","B",8910097.33622627,14
"logN","B",1801358.89846005,14
"logM","A",963.900851889202,14
"logE","A",5712227.75961446,14
"logR","A",1985021.44400464,14
"logW","A",24949909.2063853,14
"logN","A",1801358.89847195,14
"logE","GROUP",4119958.75006605,15
"logM","GROUP",2213.68551988921,15
"logN","GROUP",2047070.11325852,15
"logR","GROUP",2443625.58185954,15
"logW","GROUP",11319081.3018023,15
"logM","B",3532.68140602304,15
"logE","B",4317746.22287497,15
"logR","B",2498070.46681557,15
"logW","B",7010545.58775442,15
"logN","B",2047070.11335137,15
"logM","A",181.459866826573,15
"logE","A",6082958.1362656,15
"logR","A",2398855.06637612,15
"logW","A",18171488.7739943,15
"logN","A",2047070.11336488,15
"logE","GROUP",4249607.58497446,16
"logM","GROUP",3349.11148976342,16
"logN","GROUP",2315847.32500003,16
"logR","GROUP",2158507.65964782,16
"logW","GROUP",13132225.9151497,16
"logM","B",5697.76882200171,16
"logE","B",5046314.21344541,16
"logR","B",2143120.48714147,16
"logW","B",8528195.26269992,16
"logN","B",2315847.32510508,16
"logM","A",101.881554557439,16
"logE","A",6657027.84084934,16
"logR","A",2180831.99532044,16
"logW","A",20174104.1193635,16
"logN","A",2315847.32512036,16
"logE","GROUP",4810266.47416538,17
"logM","GROUP",4290.88913907628,17
"logN","GROUP",2380779.02927044,17
"logR","GROUP",1815915.23917848,17
"logW","GROUP",19830921.2409256,17
"logM","B",7675.94485953137,17
"logE","B",5205174.69278711,17
"logR","B",1796521.2154908,17
"logW","B",13565532.62545,17
"logN","B",2380779.02937844,17
"logM","A",48.7103319092692,17
"logE","A",6796755.5102654,17
"logR","A",1840160.64652252,17
"logW","A",29268656.3989789,17
"logN","A",2380779.02939413,17
"logE","GROUP",5416368.23504705,18
"logM","GROUP",2525.92140404037,18
"logN","GROUP",2236120.43269079,18
"logR","GROUP",1204922.1055008,18
"logW","GROUP",26799997.4201279,18
"logM","B",4790.66902852823,18
"logE","B",4978837.7705073,18
"logR","B",1178647.54605026,18
"logW","B",19171991.8931072,18
"logN","B",2236120.43279223,18
"logM","A",7.59935491593441,18
"logE","A",6553287.13159901,18
"logR","A",1233255.01696943,18
"logW","A",38142284.623872,18
"logN","A",2236120.43280696,18
"logE","GROUP",4976690.21677571,19
"logM","GROUP",442.688355091771,19
"logN","GROUP",2133809.9412062,19
"logR","GROUP",1329417.00345627,19
"logW","GROUP",22640468.6304039,19
"logM","B",901.332742691893,19
"logE","B",4280934.52753446,19
"logR","B",1253083.07803971,19
"logW","B",16625136.7908182,19
"logN","B",2133809.94130301,19
"logM","A",0.258942949652601,19
"logE","A",5841074.25293538,19
"logR","A",1412424.49381913,19
"logW","A",31184081.1625335,19
"logN","A",2133809.94131705,19
"logE","GROUP",4613064.34745425,20
"logM","GROUP",116.029558708648,20
"logN","GROUP",2134007.37132942,20
"logR","GROUP",842402.898926903,20
"logW","GROUP",22642156.5993624,20
"logM","B",185.045714282431,20
"logE","B",3763259.85706275,20
"logR","B",780189.038394829,20
"logW","B",17105974.5999643,20
"logN","B",2134007.37142623,20
"logM","A",0.0159601967198237,20
"logE","A",5404391.98144362,20
"logR","A",909553.468428088,20
"logW","A",30279234.053632,20
"logN","A",2134007.37144027,20
